TimelineID,Time,WeaponID,WeaponName,WeaponSide,ParentFiringUnitID,ParentFiringUnitName,TargetID,TargetName,TargetSide,TargetLongitude,TargetLatitude,TargetAltitude_ASL_m,TargetAltitude_AGL_m,DistanceFromFiringUnit_Horiz,Result,EndgameMessage
"The unique ID of the simulation run under which the event occured","The scenario time at which the event occured","WeaponID","WeaponName","WeaponSide","The unique ID of the unit that fired the weapon","The actual name of the unit that fired the weapon","The unique ID of the target unit at which the weapon is attacking","The actual name of the target unit which the weapon is attacking","The name of the side to which the attacked unit belongs","The longitude of the target unit","The latitude of the target unit","The barometric (above mean surface level) altitude of the attacked unit, in meters","The actual above-ground altitude, in meters, of the attacked unit","The horizontal range from the weapon's firing unit to the endgame location, in nautical miles","The result of the endgame sequence: Direct hit, miss or defeated by point defences","The generated logged message that describes the endgame sequence"
42,00:53:22.10,199,sr_sam_telar-26_sam_1,red,174,sr_sam_telar-26,193,sea_shooter_wpn3_1,blue,-121.385,39.0561,152.384,152.384,8.9167,POINTDEF:FAILURE,Target proximity
42,00:53:29.16,200,sr_sam_telar-26_sam_2,red,174,sr_sam_telar-26,193,sea_shooter_wpn3_1,blue,-121.364,39.0633,152.403,152.403,8.74891,POINTDEF:FAILURE,Minimum speed encountered
42,01:17:10.64,203,lr_sam_launcher_3-1_sam_1,red,52,lr_sam_launcher_3-1,194,sea_shooter_wpn3_2,blue,-121.739,43.0043,152.408,152.408,37.1146,HIT,Target proximity
42,01:17:16.35,204,lr_sam_launcher_3-1_sam_2,red,52,lr_sam_launcher_3-1,Unknown,sea_shooter_wpn3_2,Unknown,0,90,-6.35675e+06,-6.35675e+06,2845.38,POINTDEF:FAILURE,Coast time exceeded
42,01:23:17.84,206,sr_sam_telar-26_sam_3,red,174,sr_sam_telar-26,196,sea_shooter_wpn1_1,blue,-121.398,39.0559,152.417,152.417,8.8283,POINTDEF:FAILURE,Target proximity
42,01:23:20.03,207,sr_sam_telar-26_sam_4,red,174,sr_sam_telar-26,196,sea_shooter_wpn1_1,blue,-121.391,39.0582,152.421,152.421,8.74175,POINTDEF:FAILURE,Target proximity
42,01:28:32.90,193,sea_shooter_wpn3_1,blue,192,sea_shooter,58,lr_sam_ttr_radar_4,red,-120.617,39.3319,0.999744,0.999744,515.681,POINTDEF:FAILURE,AGL limit encountered
42,01:48:19.28,210,sr_sam_telar-36_sam_1,red,184,sr_sam_telar-36,197,sea_shooter_wpn3_3,blue,-117.89,34.7765,152.399,152.399,7.50937,HIT,Target proximity
42,01:48:21.61,211,sr_sam_telar-36_sam_2,red,184,sr_sam_telar-36,Unknown,sea_shooter_wpn3_3,Unknown,0,90,-6.35675e+06,-6.35675e+06,3311.62,POINTDEF:FAILURE,AGL limit encountered
42,01:48:25.48,212,sr_sam_telar-37_sam_1,red,185,sr_sam_telar-37,Unknown,sea_shooter_wpn3_3,Unknown,0,90,-6.35675e+06,-6.35675e+06,3315.19,POINTDEF:FAILURE,Coast time exceeded
42,01:48:25.67,213,sr_sam_telar-37_sam_2,red,185,sr_sam_telar-37,Unknown,sea_shooter_wpn3_3,Unknown,0,90,-6.35675e+06,-6.35675e+06,3315.19,POINTDEF:FAILURE,Coast time exceeded
42,01:48:33.00,195,sea_shooter_wpn4_1,blue,192,sea_shooter,76,lr_sam_launcher_6-4,red,-116.891,34.3175,0.999744,0.999744,663.691,POINTDEF:FAILURE,AGL limit encountered
